[-9.64711826094645e-8,4.204237608017185e-8]
[1.2154828175532512e-9,-6.70834913054962e-9]
[-2.7847244715266223e-9,1.123881779512982e-8]
[-2.473136256809601e-9,-1.7402122619280272e-9]
[-2.1869718571811806e-9,-5.904847204734302e-9]
[-1.2327476693082126e-8,-1.059273478016526e-8]
[-4.1755864469246316e-8,-1.766155769830109e-8]
[5.287346750348758e-9,-1.6645441837870141e-9]
[-1.7979496094722064e-8,3.178182543803934e-8]
[-1.7785859156388708e-8,3.25195614534887e-9]
[0,0]
[-4.823233853558144e-10,-8.277734276646815e-10]
[-9.897815580513773e-10,-3.2668563790836986e-9]
[-2.6265763558892575e-9,5.263184325264931e-9]
[4.5592002654878517e-8,-1.2393066814156143e-8]
[3.763906685052426e-9,1.1778309565682795e-8]
[-5.315368411607398e-10,1.4843441554809328e-8]
[1.994004539440989e-9,-2.9135163698495646e-9]
[5.0206958328348094e-8,-6.811290875321156e-8]
[2.1761129579136375e-8,4.767789518684911e-8]
[-1.0917372487976584e-9,3.200862675908422e-9]
[5.145770215184624e-9,-4.521247179293802e-8]
[-5.908858470717605e-7,3.481755581606316e-8]
[-1.4928609668246472e-8,7.2740522534077265e-9]
[-3.6782099212735607e-10,7.276789144212225e-10]
[-3.600054674105064e-9,8.944830479459e-9]
[4.307221125067056e-8,-1.540841931218304e-7]
[5.932916322856387e-9,7.530264595608919e-9]
[-1.0257870640649688e-9,-1.6763640981354024e-10]
[1.5295809123574496e-9,-4.317516366677324e-10]
[1.0809115381806953e-8,-1.529408129029588e-8]
[8.19489263231436e-9,-1.973942151172612e-8]
[0,0]
[-1.7469701668447187e-9,2.5468233847189197e-9]
[7.183895011711499e-8,-2.3816028892425756e-8]
[8.357653047399807e-10,-3.848788005287149e-9]
[-4.491130087964198e-10,1.0729085316607767e-8]
[-1.7618704029130914e-7,1.4088244082559307e-9]
[-1.3239650017806463e-9,-3.1563946646317234e-8]
[9.745549775745372e-10,-1.6081109078033355e-8]
[-1.0267628381951309e-7,-4.71605074018973e-9]
[-3.262024164545731e-9,7.892585488777841e-10]
[-4.2624726170715546e-10,-4.226642660369531e-9]
